date,rate,high,low,open,volume,ma_30,returns,prev_close,volatility
2025-04-29,0.8490599989891052,0.8511199951171875,0.8486599922180176,0.8490599989891052,0,,,,
2025-04-30,0.8492100238800049,0.8536999821662903,0.8481299877166748,0.8492100238800049,0,,0.00017669527604446955,0.8490599989891052,
2025-05-01,0.8498899936676025,0.8510000109672546,0.8479800224304199,0.8498899936676025,0,,0.0008007086215149339,0.8492100238800049,
2025-05-02,0.8501899838447571,0.8539999723434448,0.8489999771118164,0.8501899838447571,0,,0.0003529753019682058,0.8498899936676025,
2025-05-05,0.8530899882316589,0.853190004825592,0.8513399958610535,0.8530899882316589,0,,0.00341100747127987,0.8501899838447571,0.0016347150558801225
2025-05-06,0.8510500192642212,0.8519399762153625,0.8461999893188477,0.8510500192642212,0,,-0.0023912705524375966,0.8530899882316589,0.0014974839779558226
2025-05-07,0.8491899967193604,0.8521999716758728,0.8487499952316284,0.8491899967193604,0,,-0.002185561956122073,0.8510500192642212,0.0015024374545714067
2025-05-08,0.8504700064659119,0.8511199951171875,0.8461800217628479,0.8504700064659119,0,,0.0015073302223254093,0.8491899967193604,0.0014473822678877347
2025-05-09,0.8479899764060974,0.8492100238800049,0.8463600277900696,0.8479899764060974,0,,-0.002916069985959946,0.8504700064659119,0.0019317714159038796
2025-05-12,0.8450199961662292,0.8457099795341492,0.8410800099372864,0.8450199961662292,0,,-0.003502376587581124,0.8479899764060974,0.0023943940974234627
2025-05-13,0.8419399857521057,0.8426300287246704,0.8402000069618225,0.8419399857521057,0,,-0.0036448964854053356,0.8450199961662292,0.0034391429584551465
2025-05-14,0.8406999707221985,0.8434900045394897,0.8403000235557556,0.8406999707221985,0,,-0.0014728069112901476,0.8419399857521057,0.004076285606088466
2025-05-15,0.8430100083351135,0.8439800143241882,0.8413299918174744,0.8430100083351135,0,,0.0027477550771539683,0.8406999707221985,0.0028598551435600143
2025-05-16,0.8411700129508972,0.8432000279426575,0.8402000069618225,0.8411700129508972,0,,-0.0021826495130824464,0.8430100083351135,0.0017208972373253383
2025-05-19,0.8407700061798096,0.8425400257110596,0.8399099707603455,0.8407700061798096,0,,-0.0004755361757183829,0.8411700129508972,0.0009687520951853804
